"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"Assignment3","To verify the PDT-PreProcess API with invalid destinationAccountId","Client_Credentials","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid destinationAccountId","e2eKey","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid destinationAccountId","ResourceOwner","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid destinationAccountId","Store_access_Token","groovy","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid destinationAccountId","Accounts","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid destinationAccountId","Cards","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid destinationAccountId","Transaction","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid destinationAccountId","PDT-Eligibility","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid destinationAccountId","PDT-PreProcess","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid chargeBearer","Client_Credentials","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid chargeBearer","e2eKey","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid chargeBearer","ResourceOwner","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid chargeBearer","Store_access_Token","groovy","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid chargeBearer","Accounts","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid chargeBearer","Cards","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid chargeBearer","Transaction","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid chargeBearer","PDT-Eligibility","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-PreProcess API with invalid chargeBearer","PDT-PreProcess","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","Initiate the PDT-Confirmation API with valid fields and verify the Expected Result","Client_Credentials","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","Initiate the PDT-Confirmation API with valid fields and verify the Expected Result","e2eKey","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","Initiate the PDT-Confirmation API with valid fields and verify the Expected Result","ResourceOwner","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","Initiate the PDT-Confirmation API with valid fields and verify the Expected Result","Store_access_Token","groovy","OK","","27-Jul-2020 20_53",
"Assignment3","Initiate the PDT-Confirmation API with valid fields and verify the Expected Result","Accounts","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","Initiate the PDT-Confirmation API with valid fields and verify the Expected Result","Cards","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","Initiate the PDT-Confirmation API with valid fields and verify the Expected Result","Transaction","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","Initiate the PDT-Confirmation API with valid fields and verify the Expected Result","PDT-Eligibility","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","Initiate the PDT-Confirmation API with valid fields and verify the Expected Result","PDT-PreProcess","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","Initiate the PDT-Confirmation API with valid fields and verify the Expected Result","PDT","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-Confirmation API with invalid controlFlowId","Client_Credentials","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-Confirmation API with invalid controlFlowId","e2eKey","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-Confirmation API with invalid controlFlowId","ResourceOwner","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-Confirmation API with invalid controlFlowId","Store_access_Token","groovy","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-Confirmation API with invalid controlFlowId","Accounts","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-Confirmation API with invalid controlFlowId","Cards","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-Confirmation API with invalid controlFlowId","Transaction","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-Confirmation API with invalid controlFlowId","PDT-Eligibility","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-Confirmation API with invalid controlFlowId","PDT-PreProcess","restrequest","OK","","27-Jul-2020 20_53",
"Assignment3","To verify the PDT-Confirmation API with invalid controlFlowId","PDT","restrequest","OK","","27-Jul-2020 20_53",